Panstwo;Wydatki
Belgium;311 779
Bulgaria;104 251
Czechia;205 797
Denmark;151 498
Germany;2 297 694
Estonia;24 186
Ireland;112 189
Greece;190 956
Spain;954 358
France;1 703 640
Croatia;68 885
Italy;1 364 286
Cyprus;20 686
Latvia;33 412
Lithuania;62 109
Luxembourg;20 967
Hungary;159 085
Malta;10 299
Netherlands;475 590
Austria;249 045
Poland;768 234
Portugal;208 421
Romania;382 719
Slovenia;42 512
Slovakia;97 808
Finland;141 205
Sweden;267 048
Iceland;10 596
Norway;161 459
Switzerland;239 448
United Kingdom;1 677 125
Bosnia and Herzegovina;32 848
Montenegro;9 037
North Macedonia;21 395
Albania;26 317
Serbia;81 920
