Panstwo;Wydatki_nominalne
Belgium;366 943
Bulgaria;113 011
Czechia;3 961 850
Denmark;1 658 257
Germany;2 521 058
Estonia;22 514
Ireland;162 756
Greece;161 824
Spain;931 511
France;1 825 074
Croatia;47 451
Italy;1 380 113
Cyprus;19 573
Latvia;26 984
Lithuania;46 205
Luxembourg;32 029
Hungary;39 063 686
Malta;9 395
Netherlands;574 394
Austria;289 406
Poland;2 088 870
Portugal;179 984
Romania;995 511
Slovenia;37 687
Slovakia;78 407
Finland;180 830
Sweden;3 668 343
Iceland;2 610 375
Norway;2 496 399
Switzerland;443 519
United Kingdom;1 890 606
Bosnia and Herzegovina;35 107
Montenegro;4 997
North Macedonia;618 156
Albania;1 724 452
Serbia;5 512 129
